epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8707589507102966,0.6236607432365417,0.9078205227851868,0.8265625238418579,0.9857142567634583,0.4301106035709381,0.9873873591423035,0.9785714149475098
1,0.8808035850524902,0.6078113317489624,0.9101477265357971,0.8388392925262451,0.9848214387893677,0.42840492725372314,0.9882777333259583,0.9785714149475098
2,0.8917410969734192,0.5905680656433105,0.918021023273468,0.8573660850524902,0.9857142567634583,0.4242866039276123,0.9918772578239441,0.981249988079071
3,0.8939732313156128,0.5820432901382446,0.9227088093757629,0.8607142567634583,0.9830357432365417,0.42389655113220215,0.9909665584564209,0.9794642925262451
4,0.90625,0.5705407857894897,0.9278618693351746,0.8756696581840515,0.987500011920929,0.41838589310646057,0.9918699264526367,0.9803571701049805
5,0.9131696224212646,0.5648938417434692,0.9334434866905212,0.8828125,0.9821428656578064,0.4233182966709137,0.9873873591423035,0.9785714149475098
6,0.9111607074737549,0.5599144697189331,0.9284874200820923,0.8810268044471741,0.9883928298950195,0.4160100817680359,0.991906464099884,0.9848214387893677
7,0.9149553775787354,0.5534406304359436,0.9371591210365295,0.8821428418159485,0.9866071343421936,0.4190852642059326,0.9910072088241577,0.9839285612106323
8,0.9198660850524902,0.5458155870437622,0.9395371079444885,0.8879464268684387,0.9892857074737549,0.41447708010673523,0.9928057789802551,0.9857142567634583
9,0.9209821224212646,0.5383155941963196,0.9420867562294006,0.8968750238418579,0.9883928298950195,0.4147445261478424,0.9927862882614136,0.9830357432365417
